ID pregunta,Historia inglés,Pregunta inglés,Respuesta inglés,Historia español,
fd1ae9b5d82e2d66e23958c22519869c2b9c3cab.4,"After hearing from veterans who received the letter but do not have ALS, the VA immediately began reviewing {individual claims files for all the recipients to determine who received the letter by mistake}, agency spokeswoman Katie Roberts said in the statement. ""VA employees are personally contacting these individuals to ensure they understand the letter should not be confused with a medical diagnosis of ALS, explain why they mistakenly received the letter and express VA's sincere apologies for the distress caused by this unfortunate and regrettable error.""",What is the agency reviewing ?,individual claims files for all the recipients to determine who received the letter by mistake,"Después de escuchar a los veteranos que recibieron la carta pero no tienen ELA, la VA inmediatamente comenzó a revisar {los archivos de reclamaciones individuales de todos los destinatarios para determinar quién recibió la carta por error}, dijo la portavoz de la agencia Katie Roberts en la declaración. ""Los empleados del VA están personalmente contactando a estas personas para asegurarse de que entienden que la carta no debe confundirse con un diagnóstico médico de ELA, explicar por qué recibieron erróneamente la carta y expresar las sinceras disculpas de VA por la angustia causada por este desafortunado y lamentable error.""",
1eddcd75a4f3a67897264087a2356431ba1aa3be.8,"LONDON, England (CNN) -- British police are reviewing {the death of Rolling Stones founder Brian Jones}, 40 years after the hard-living rocker was found dead in a swimming pool.",what is sussex police reviewing,the death of Rolling Stones founder Brian Jones,"LONDRES, Inglaterra (CNN) -- La policía británica está revisando {la muerte del fundador de Rolling Stones}, Brian Jones, 40 años después de que el roquero de vida dura fuera encontrado muerto en una piscina.",
dee9b138e2b6acae35d0befa7ba5f4452ab2e487.2,"{CNN} talked with the Indigo Girls about the Internet, food, their Southern roots and their newest album's strange name. The following is an edited version of that interview.",Who have the girls been talking with ?,CNN,"{CNN} habló con las Indigo Girls sobre Internet, la comida, sus raíces sureñas y el nombre extraño de su nuevo álbum. Lo siguiente es una versión editada de esa entrevista.",
ab47c818c8642a3e11d0805aee3925e4596e2eb5.8,"New York City Police Commissioner Raymond Kelly told reporters that {Kyle Shaw}, 17, was arrested Tuesday night at his Manhattan apartment after a police investigation revealed that he bragged to his friends about planting the explosive outside an Upper East Side Starbucks on May 25.",Who wanted to launch Project Mayhem ?,Kyle Shaw,"El comisionado de policía de Nueva York, Raymond Kelly, dijo a los periodistas que {Kyle Shaw}, de 17 años, fue arrestado el martes por la noche en su apartamento de Manhattan después de que una investigación policial revelara que se jactaba con sus amigos de plantar el explosivo fuera de un Starbucks del Upper East Side el 25 de mayo.",
e9eb720cede2bcc536bf292e31492a94ceda0684.6,"Walt Disney World spokeswoman Zoraya Suarez said the action was ""part of an {investigative process}, not a disciplinary action.""",What is action a part of ?,investigative process,"La portavoz de Walt Disney World, Zoraya Suárez, dijo que la acción era ""parte de un {proceso de investigación}, no una acción disciplinaria"".",
d6bbfb65d279035b20e36aefc209ff6ee9dbf52e.8,"(CNN) -- Manchester United manager {Alex Ferguson} hailed his side's rollercoaster 4-3 victory over neighbors Manchester City at Old Trafford as the ""best derby of all time.""",Who is the manager of Manchester United ?,Alex Ferguson,"(CNN) -- {Alex Ferguson}, gerente del Manchester United, alabó la victoria 4-3 de su equipo sobre los vecinos de Manchester City en Old Trafford como el ""mejor derby de todos los tiempos"".",
e1b904fd0a3f74c3e01831acb6d4a67c0d1b642b.8,Debra Lafave was arrested after talking with {a teenager}. She is not allowed to have contact with anyone under 18.,Who did Lafave talk to ?,a teenager,Debra Lafave fue arrestada después de hablar con {una adolescente}. No se le permite tener contacto con nadie menor de 18 años.,
1764344415dfb5791a7bde67eeedfa9eb72373bf.5,The disaster at Hillsborough football stadium in 1989 resulted in the deaths of {96} football supporters.,How many people were killed in the disaster ?,96,El desastre en el estadio de fútbol de Hillsborough en 1989 resultó en la muerte de {96} aficionados al fútbol.,
a9081a5449974feee8edc0076fdbbf6abe03cd1a.8,Singer {Amy Winehouse} was accused of hitting a woman at a charity ball last year.,Who plead not guilty in March ?,Amy Winehouse,La cantante {Amy Winehouse} fue acusada de golpear a una mujer en un baile de caridad el año pasado.,
6f039b0d39932ac4bbd3bf85eba1690376ff50c5.7,"The House rejected the original bill on {Monday}, sending stocks tumbling around the world.",When was the rescue plan rejected ?,Monday,"La Cámara rechazó el proyecto de ley original el {lunes}, enviando acciones a todo el mundo.",
