ID pregunta,Historia ingl�s,Pregunta ingl�s,Respuesta ingl�s,Historia espa�ol,
fd1ae9b5d82e2d66e23958c22519869c2b9c3cab.4,"After hearing from veterans who received the letter but do not have ALS, the VA immediately began reviewing {individual claims files for all the recipients to determine who received the letter by mistake}, agency spokeswoman Katie Roberts said in the statement. ""VA employees are personally contacting these individuals to ensure they understand the letter should not be confused with a medical diagnosis of ALS, explain why they mistakenly received the letter and express VA's sincere apologies for the distress caused by this unfortunate and regrettable error.""",What is the agency reviewing ?,individual claims files for all the recipients to determine who received the letter by mistake,"Despu�s de escuchar a los veteranos que recibieron la carta pero no tienen ELA, la VA inmediatamente comenz� a revisar {los archivos de reclamaciones individuales de todos los destinatarios para determinar qui�n recibi� la carta por error}, dijo la portavoz de la agencia Katie Roberts en la declaraci�n. ""Los empleados del VA est�n personalmente contactando a estas personas para asegurarse de que entienden que la carta no debe confundirse con un diagn�stico m�dico de ELA, explicar por qu� recibieron err�neamente la carta y expresar las sinceras disculpas de VA por la angustia causada por este desafortunado y lamentable error.""",
1eddcd75a4f3a67897264087a2356431ba1aa3be.8,"LONDON, England (CNN) -- British police are reviewing {the death of Rolling Stones founder Brian Jones}, 40 years after the hard-living rocker was found dead in a swimming pool.",what is sussex police reviewing,the death of Rolling Stones founder Brian Jones,"LONDRES, Inglaterra (CNN) -- La polic�a brit�nica est� revisando {la muerte del fundador de Rolling Stones}, Brian Jones, 40 a�os despu�s de que el roquero de vida dura fuera encontrado muerto en una piscina.",
dee9b138e2b6acae35d0befa7ba5f4452ab2e487.2,"{CNN} talked with the Indigo Girls about the Internet, food, their Southern roots and their newest album's strange name. The following is an edited version of that interview.",Who have the girls been talking with ?,CNN,"{CNN} habl� con las Indigo Girls sobre Internet, la comida, sus ra�ces sure�as y el nombre extra�o de su nuevo �lbum. Lo siguiente es una versi�n editada de esa entrevista.",
ab47c818c8642a3e11d0805aee3925e4596e2eb5.8,"New York City Police Commissioner Raymond Kelly told reporters that {Kyle Shaw}, 17, was arrested Tuesday night at his Manhattan apartment after a police investigation revealed that he bragged to his friends about planting the explosive outside an Upper East Side Starbucks on May 25.",Who wanted to launch Project Mayhem ?,Kyle Shaw,"El comisionado de polic�a de Nueva York, Raymond Kelly, dijo a los periodistas que {Kyle Shaw}, de 17 a�os, fue arrestado el martes por la noche en su apartamento de Manhattan despu�s de que una investigaci�n policial revelara que se jactaba con sus amigos de plantar el explosivo fuera de un Starbucks del Upper East Side el 25 de mayo.",
e9eb720cede2bcc536bf292e31492a94ceda0684.6,"Walt Disney World spokeswoman Zoraya Suarez said the action was ""part of an {investigative process}, not a disciplinary action.""",What is action a part of ?,investigative process,"La portavoz de Walt Disney World, Zoraya Su�rez, dijo que la acci�n era ""parte de un {proceso de investigaci�n}, no una acci�n disciplinaria"".",
d6bbfb65d279035b20e36aefc209ff6ee9dbf52e.8,"(CNN) -- Manchester United manager {Alex Ferguson} hailed his side's rollercoaster 4-3 victory over neighbors Manchester City at Old Trafford as the ""best derby of all time.""",Who is the manager of Manchester United ?,Alex Ferguson,"(CNN) -- {Alex Ferguson}, gerente del Manchester United, alab� la victoria 4-3 de su equipo sobre los vecinos de Manchester City en Old Trafford como el ""mejor derby de todos los tiempos"".",
e1b904fd0a3f74c3e01831acb6d4a67c0d1b642b.8,Debra Lafave was arrested after talking with {a teenager}. She is not allowed to have contact with anyone under 18.,Who did Lafave talk to ?,a teenager,Debra Lafave fue arrestada despu�s de hablar con {una adolescente}. No se le permite tener contacto con nadie menor de 18 a�os.,
1764344415dfb5791a7bde67eeedfa9eb72373bf.5,The disaster at Hillsborough football stadium in 1989 resulted in the deaths of {96} football supporters.,How many people were killed in the disaster ?,96,El desastre en el estadio de f�tbol de Hillsborough en 1989 result� en la muerte de {96} aficionados al f�tbol.,
a9081a5449974feee8edc0076fdbbf6abe03cd1a.8,Singer {Amy Winehouse} was accused of hitting a woman at a charity ball last year.,Who plead not guilty in March ?,Amy Winehouse,La cantante {Amy Winehouse} fue acusada de golpear a una mujer en un baile de caridad el a�o pasado.,
6f039b0d39932ac4bbd3bf85eba1690376ff50c5.7,"The House rejected the original bill on {Monday}, sending stocks tumbling around the world.",When was the rescue plan rejected ?,Monday,"La C�mara rechaz� el proyecto de ley original el {lunes}, enviando acciones a todo el mundo.",
612a2aa39c7e8685aff7c4efb0d67d721f882dd6.4,"Her ex-husband strongly denied that he ever physically or mentally abused Murphy, whom he married in {1978} soon after they met as teenagers in college.",What year did she marry her abuser ?,1978,"Su ex-marido neg� firmemente que alguna vez abusara f�sica o mentalmente de Murphy, con quien se cas� en {1978} poco despu�s de que se conocieron como adolescentes en la universidad.",
90aa53349401856571e1e749155772af132a8ff6.1,"Since the vote, Iran has seen {turmoil not witnessed since the 1979 Islamic revolution} as thousands have taken to the streets to protest and security forces have brutally cracked down.",What has Iran seen ?,turmoil not witnessed since the 1979 Islamic revolution,"Desde la votaci�n, Ir�n {no ha presenciado disturbios desde la revoluci�n isl�mica de 1979}, ya que miles han salido a las calles para protestar y las fuerzas de seguridad han reprimido brutalmente.",
91607b09ab00b8dff5d7b98387ed132a44d8b61b.7,"Musharraf, who seized power in a 1999 coup, has been living in London and Dubai since resigning in {2008}. He had announced plans to return from exile in late January and run in upcoming elections -- but his party said he was reassessing those plans when Pakistan's elected government warned that if he returned, he faced arrest in connection with the 2007 assassination of former Prime Minister Benazir Bhutto.",When did Musharraf resign ?,2008,"Musharraf, que tom� el poder en un golpe de estado de 1999, ha estado viviendo en Londres y Dubai desde que renunci� en {2008}. Hab�a anunciado planes para regresar del exilio a finales de enero y presentarse a las pr�ximas elecciones, pero su partido dijo que estaba reevaluando esos planes cuando el gobierno electo de Pakist�n advirti� que si regresaba, se enfrentaba al arresto en relaci�n con el asesinato en 2007 del ex primer ministro Benazir Bhutto.",
9b4f5a46c81a21bbdc8d3295e9ccdb35326def43.6,The Central Park Boathouse {East 60th Street},Where is the boathouse,East 60th Street,Central Park Boathouse {East 60th Street},
1aceea48124b61523034375f54235909443ca8a1.5,"(CNN) -- {A man authorities believe has robbed at least 10 banks in at least four states was arrested} in Missouri after a retired state trooper saw him and learned he was wanted, authorities said Sunday.",What happened in Kingdom City Missouri ?,A man authorities believe has robbed at least 10 banks in at least four states was arrested,"(CNN) -- {Un hombre que las autoridades creen que ha robado al menos 10 bancos en al menos cuatro estados fue arrestado} en Missouri despu�s de que un soldado estatal retirado lo vio y se enter� de que era buscado, dijeron las autoridades el domingo.",
b401be43092ba251abd1aeca4472921ea2d901fe.1,"NEW YORK (CNN) -- Former New York City police Commissioner Bernard Kerik pleaded not guilty in federal court Monday to a revised indictment charging him in a {corruption and tax evasion} case, according to a spokesman for the New York District Attorney.",What is Kerik accused of ?,corruption and tax evasion,"NUEVA YORK (CNN) -- El ex comisionado de la polic�a de Nueva York, Bernard Kerik, se declar� inocente en la corte federal el lunes de una acusaci�n revisada que lo acusaba en un caso de {corrupci�n y evasi�n de impuestos}, seg�n un portavoz del Fiscal del Distrito de Nueva York.",
63f9da9327c1ee87a906133f7d19ef72f55332e5.9,"(CNN) -- The news editor of the Zambian newspaper The Post has gone on trial for allegedly circulating {obscene material} to politicians, the newspaper states on its Web site.",what was circulating,obscene material,"(CNN) -- El editor de noticias del peri�dico zambiano The Post ha sido juzgado por supuestamente distribuir {material obsceno} a pol�ticos, dice el peri�dico en su sitio web.",
f6f1674e90735788a379df95cc5209f431e9c2ce.2,"All of this was rattling around in my head when I saw {the Marines} riding around in what they call ""a 7-ton truck."" As the name suggests, it's huge and has some armor plating on the sides. But what it doesn't make clear is that the truck is open in the back and sides. The Marines insist it is a safe way to transport troops.",Who often travel in `` 7-ton truck '' that 's open in the back and sides ?,the Marines,"Todo esto estaba revoloteando en mi cabeza cuando vi a {los Marines} dando vueltas en lo que llaman ""un cami�n de 7 toneladas"". Como su nombre sugiere, es enorme y tiene algunas armaduras en los lados. Pero lo que no deja claro es que el cami�n est� abierto en la parte trasera y los lados. Los Marines insisten en que es una forma segura de transportar tropas.",
cd69c6b1ae6ec892b25c041acf273df73a7cedd5.4,"Nepal, {56}, is a former general secretary of the Communist Party, but had resigned after the party made a poor showing last year against another Communist movement.",What is Nepal 's age ?,56,"Nepal, de {56} a�os, es un ex secretario general del Partido Comunista, pero hab�a dimitido despu�s de que el partido hiciera una pobre presentaci�n el a�o pasado contra otro movimiento comunista.",
322270fe8c74098a3003ec4685bfabaf3aaf790a.1,"LOS ANGELES, California (CNN) -- {Investigators are looking into whether employees at the Los Angeles County coroner's office illegally leaked information about Michael} Jackson's death probe to the news media, according to a sheriff's spokesman.",What did the sheriff say about Jackson 's death ?,Investigators are looking into whether employees at the Los Angeles County coroner 's office illegally leaked information about Michael,"LOS �NGELES, California (CNN) -- {Los investigadores est�n investigando si los empleados de la oficina del forense del condado de Los �ngeles filtraron ilegalmente informaci�n sobre la sonda de la muerte de Michael} Jackson a los medios de comunicaci�n, seg�n un portavoz del sheriff.",
3fca9a7334698cf129de02e53c3c68de3e06ce6a.4,"(CNN) -- Sonic {booms and at least one fireball} in the sky were reported in Texas on Sunday, less than a week after two satellites collided in space and a day after the Federal Aviation Administration asked U.S. pilots to watch for ""falling space debris,"" authorities said.",What types of sightings were reported ?,booms and at least one fireball,"(CNN) -- El domingo se reportaron {booms sonoros y al menos una bola de fuego} en el cielo en Texas, menos de una semana despu�s de que dos sat�lites chocaran en el espacio y un d�a despu�s de que la Administraci�n Federal de Aviaci�n pidiera a los pilotos estadounidenses que vigilaran por ""caer desechos espaciales"", dijeron las autoridades.",
78a669ab733b60d29ddaba3cd82e09e8b9e05b2c.9,A near-capacity crowd filled the Dubai Sports City Cricket Stadium as the venue hosted international {cricket} for the first time.,Beat Australia at what ?,cricket,Una multitud cercana a la capacidad llen� el Dubai Sports City Cricket Stadium como sede del {cricket} internacional por primera vez.,
d98865741a61a1590113fc32b9b0e60a90d1c8e1.1,"President Dmitry Medvedev announced the measures just two weeks ago, in his first state-of-the-nation speech {on November 5}.",When did Medvedev announce the measures ?,on November 5,"El presidente Dmitry Medvedev anunci� las medidas hace apenas dos semanas, en su primer discurso sobre el estado de la naci�n {el 5 de noviembre}.",
6d132e19242bcc5d25032d6a726486970190d059.4,The cancellation of the England-to-France express train service {stranded thousands of passengers on both sides of the English Channel on the weekend before Christmas}.,What is the consequence of the cancellation of England-to-France express train service ?,stranded thousands of passengers on both sides of the English Channel on the weekend before Christmas,La cancelaci�n del servicio de tren expreso de Inglaterra a Francia {dej� a miles de pasajeros a ambos lados del Canal de la Mancha el fin de semana antes de Navidad}.,
998e1d912abbe393ef44e61d60fbafbf431b3981.1,"WASHINGTON (CNN) -- President Barack Obama weighed in Thursday on the conflict between Israel and Hamas, urging Israel to open {Gaza} border crossings and telling the Islamic fundamentalist organization to stop rocket fire into the Jewish state.",Where are the border crossings ?,Gaza,"WASHINGTON (CNN) - El presidente Barack Obama sopes� el jueves el conflicto entre Israel y Hamas, instando a Israel a abrir los cruces fronterizos de {Gaza} y dici�ndole a la organizaci�n fundamentalista isl�mica que detenga el fuego de cohetes contra el estado jud�o.",
33ea674fce31a87721283b7f6dd78d1753a4aac8.9,"(CNN) -- The woman and children held captive {in a cellar} for years by their incestuous father will take years to recover from their disturbing ordeal, doctors warned Wednesday as the family at the center of the case remained in psychiatric care.",Being kept where means children may not lead normal lives ?,in a cellar,"(CNN) -- La mujer y los ni�os retenidos {en un s�tano} durante a�os por su padre incestuoso tardar�n a�os en recuperarse de su terrible experiencia, los m�dicos advirtieron el mi�rcoles que la familia en el centro del caso permanec�a en el cuidado psiqui�trico.",
d2fb77380bb64b1819201e52ddaedb9118d7d824.3,"While pregnant with Ginny in the mid-1960s her mom had taken a synthetic estrogen known as diethylstilbestrol ({DES}), which at the time was prescribed to prevent miscarriages and complications. Later that decade, however, doctors connected the drug to a rare form of vaginal cancer that was turning up in young women exposed to {DES} in the womb.",what did exposed to drug in the womb ?,DES,"Mientras estaba embarazada de Ginny a mediados de la d�cada de 1960, su madre hab�a tomado un estr�geno sint�tico conocido como dietilstilbestrol ({DES}), que en ese momento se prescribi� para prevenir abortos espont�neos y complicaciones. M�s tarde en esa d�cada, sin embargo, los m�dicos conectaron el medicamento a una rara forma de c�ncer vaginal que estaba apareciendo en mujeres j�venes expuestas a {DES} en el �tero.",
a8c88f6601d733b2586674c6777d26f24fc0abc1.5,"Bolivia's first indigenous president credited his five-day hunger strike for the decision, which came after an all-night debate. ""That effort has not been in vain,"" the leftist leader said as he approved the law, which calls for general elections to be held on {December. 6}.",When is the date of the general election ?,December . 6,"El primer presidente ind�gena de Bolivia atribuy� su huelga de hambre de cinco d�as por la decisi�n, que vino despu�s de un debate de toda la noche. ""Ese esfuerzo no ha sido en vano"", dijo el l�der de izquierda al aprobar la ley, que pide que las elecciones generales se celebren {el 6 de diciembre}.",
dde1da045f31072dd1faedf94793fe1899b929ec.9,"{Fourteen} guards were fired and the entire management team for ArmorGroup in Kabul was to be replaced, the U.S. Embassy in Kabul said.",How many guards were fired ?,Fourteen,"{Catorce} guardias fueron despedidos y todo el equipo directivo de ArmorGroup en Kabul iba a ser reemplazado, dijo la Embajada de Estados Unidos en Kabul.",
d141f123ce7ae90c6297eea603862bef2bc3d805.8,British Prime Minister Gordon Brown issued a heartfelt message of support for the {NHS} via Twitter.,What organization offers free health care to UK people ?,NHS,El primer ministro brit�nico Gordon Brown emiti� un mensaje sincero de apoyo al {NHS} a trav�s de Twitter.,
8066899f5d5b89bd4486b680a1ff3f2d02a6e2f7.1,"""Anna was the center of a cruel tabloid feeding frenzy,"" Eroshevich's attorney, Adam Braun, told CNN in a statement Monday. ""In the face of this, Dr. Eroshevich did her best to help the patient while protecting what little privacy Anna had left. Any {actions were done with the patient's well-being in} mind and were certainly not criminal.""",What did the doctor have in mind ?,actions were done with the patient 's well-being in,"""Anna fue el centro de un cruel frenes� de alimentaci�n tabloides"", dijo el abogado de Eroshevich, Adam Braun, a CNN en una declaraci�n el lunes. ""Ante esto, el Dr. Eroshevich hizo todo lo posible para ayudar al paciente mientras proteg�a la poca privacidad que le quedaba a Anna. Cualquier {acci�n se hizo teniendo en cuenta el bienestar del paciente} y ciertamente no fue criminal"".",
458f0587d9af18f8af18975eed4ee7f2452eca6a.6,"""His 'Helga' pictures, a large group of intimate portraits of a neighbor, painted over many years, were first shown {publicly in 1986},"" the InfoPlease biography says. Those were painted in Pennsylvania.",When were his `` Helga '' portraits first shown ?,publicly in 1986,"""Sus cuadros 'Helga', un gran grupo de retratos �ntimos de un vecino, pintados a lo largo de muchos a�os, fueron mostrados {p�blicamente por primera vez en 1986}"", dice la biograf�a de InfoPlease.",
57134ae4deea60bd791ff29e6678a8f9b4edc52c.5,The film -- based on a Tony Award- and Pulitzer Prize-winning play by the same name -- examines what happens when {a strict nun who heads a Catholic school} in the Bronx suspects a charismatic priest of having an inappropriate relationship with a student.,What is this movie about ?,a strict nun who heads a Catholic school,"La pel�cula, basada en un premio Tony y en una obra del mismo nombre que gan� el Premio Pulitzer, examina lo que sucede cuando {una monja estricta que dirige una escuela cat�lica} en el Bronx sospecha que un sacerdote carism�tico tiene una relaci�n inapropiada con un estudiante.",
27af664a38a64b6588b320b8e93c3d6a033f013d.5,(CNN) -- {Former champion} Maria Sharapova has been seeded for next week's Wimbledon championships.,Who is Maria Sharapova ?,Former champion,(CNN) -- {La ex campeona} Maria Sharapova ha sido sembrada para los campeonatos de Wimbledon de la pr�xima semana.,
b5313efdec6d9afa6f43f26378c6065fcc9c7535.5,It was Pet Fashion Week New York and these {canines} were not wearing the boring plaid raincoats that have sold for years. They were wearing one-of-kind design creations.,What ruled in New York ?,canines,Fue Pet Fashion Week Nueva York y estos {caninos} no llevaban los aburridos impermeables de cuadros que han vendido durante a�os. Llevaban creaciones de dise�o �nicas.,
7782497fde9b79b85bb2519b22e0ebab2e0dc4cd.2,"Lauder died from {complications of ovarian cancer} at her home with her family by her side, the company said.",What was Evelyn Lauder 's cause of death ?,complications of ovarian cancer,"Lauder muri� de {complicaciones de c�ncer de ovario} en su casa con su familia a su lado, dijo la compa��a.",
64707187d0a7ec0591c0f41ebd37f98f57846e8c.6,"On Thursday, {U.S. Secretary of State Condoleezza Rice} is set to meet with Turkish officials in Ankara and President Bush holds talks in Washington with Turkish Prime Minister Recep Tayyip Erdogan.",Who is meeting with Turk officials ?,U.S. Secretary of State Condoleezza Rice,"El jueves, {la Secretaria de Estado de Estados Unidos, Condoleezza Rice}, se reunir� con funcionarios turcos en Ankara y el presidente Bush mantiene conversaciones en Washington con el primer ministro turco, Recep Tayyip Erdogan.",
2bf59300cea5e1a5dfb0fb705d5fc38e8aab59f1.2,{Lansana Conte} came to power in a military coup in 1984.,Who has just died ?,Lansana Conte,{Lansana Conte} lleg� al poder en un golpe militar en 1984.,
255d3ffd5f245624abcccdcd39f473b2e9b774b8.6,"{Petty Officer Jonathan Campos} was found dead in the brig at the Marine Corps Base Camp Pendleton in San Diego, a military statement said.",Who was found dead ?,Petty Officer Jonathan Campos,"{El contramaestre Jonathan Campos} fue encontrado muerto en el calabozo en el campamento de base del Cuerpo de Marines Pendleton en San Diego, seg�n una declaraci�n militar.",
